"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2006-10-24","2006-10-24","","","Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111588 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/111589 | Podeu consultar la versió en búlgar a: http://hdl.handle.net/11703/111593 | Podeu consultar la versió en japonès a: http://hdl.handle.net/11703/111594 | Podeu consultar la versió en persa a: http://hdl.handle.net/11703/111595 | Podeu consultar la versió en serbi a: http://hdl.handle.net/11703/111596 | Podeu consultar la versió en ucraïnès a: http://hdl.handle.net/11703/111598","","","","","","","","application/pdf","9 p.","6123","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/111587","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/111588 | http://hdl.handle.net/11703/111589 | http://hdl.handle.net/11703/111593 | http://hdl.handle.net/11703/111594 | http://hdl.handle.net/11703/111595 | http://hdl.handle.net/11703/111596 | http://hdl.handle.net/11703/111598","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Indicadors socials | Política cultural | Indicadores sociales | Política cultural | Social indicators | Cultural policy","Cultura i oci","monografies","Agenda 21 de la cultura","Indicadores culturales y Agenda 21 de la cultura","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","1965-08-06","1965","","","Aprovada pel Plenari del Consell Municipal de 06-08-1965 | Derogada per l'Ordenanza de circulación [1971] | Podeu consultar la versió oficial a: http://hdl.handle.net/11703/99332","","","","Digitalitzat pel SEDAC","","","","application/pdf","43 p.","","","","","","","http://hdl.handle.net/11703/99806","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/99332","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Vianants | Circulació urbana | Pedestrians | Urban traffic | Peatones | Circulación urbana","Legislació i justícia | Sector públic | Transport","monografies | ordenances municipals | documents digitalitzats","","Ordenanza de circulación [1965] [ed. 1965]","","text",
"","","Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | ACC1ó | 22@bcn, S.A.","","Barcelona | Catalunya | Barcelona | Catalonia | Barcelona | Cataluña","","","2007","2007","","","","","","","","","","","application/pdf","28 p.","8653","","","societats mercantils","","","http://hdl.handle.net/11703/90888","cas","Promoció econòmica","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Indústries energètiques | Energy industries | industria energética","Energia | Economia","monografies","","El sector energético en Barcelona y Catalunya","","text",
"","","Puig, Jordi | Institut Municipal d'Educació (Barcelona)","Quintana Albalat, Jordi","Barcelona | Barcelona | Barcelona","","","2013","2013","","","Forma part de la col·lecció: Quaderns del Consell de Coordinació Pedagògica; 6","","","","","","","","application/pdf","74 p.","11172","","","organismes autònoms","","","http://hdl.handle.net/11703/91065","cat","Institut d'Educació de l'Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Folklore | Festes populars | Folklore | Folk festivals | Folklore | Fiestas","Cultura i oci","monografies","","Les Cases de la Festa a Barcelona: imatgeria, foc, dansa i música","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 73","","","","","","","","application/pdf","30 p.","8374","","","societats mercantils","","","http://hdl.handle.net/11703/90859","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Empreses | Adjudicació de contractes | Contractes de treball | Emprenedoria | Drets dels treballadors | Business enterprises | Letting of contracts | Labor contract | Entrepreneurship | Employee rights | Empresas | Adjudicación administrativa | Contratos de trabajo | Emprendedores | Trabajadores -- Derechos","Ocupació","monografies","","Contractació laboral","","text",
"","","Casas, Teresa | Institut Municipal d'Educació (Barcelona)","Oller, Montserrat | Pagès, Joan","Barcelona | Barcelona | Barcelona","","","2010","2010","","","Forma part de la col·lecció: Quaderns del Consell de Coordinació Pedagògica; 5","","","","","","","","application/pdf","49 p.","11171","","","organismes autònoms","","","http://hdl.handle.net/11703/91064","cat","Institut d'Educació de l'Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Dret | Justícia | Law | Justice | Derecho | Justicia","Educació | Legislació i justícia","monografies","","Ensenyar i aprendre la justícia","","text",
"","","Postico Soler, Núria | Arxiu Municipal Administratiu de Barcelona","","Barcelona. Districte 9. Sant Andreu | Barcelona. District 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu","","","1997","1996","","","","","","","","","","","application/pdf","46 p.","4146","","","","","","http://hdl.handle.net/11703/90617","cat","Ajuntament de Barcelona. Arxiu municipal","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Arxiu Municipal del Districte 9. Sant Andreu (Barcelona) | Arxiu Municipal del Districte 9. Sant Andreu (Barcelona) | Arxiu Municipal del Districte 9. Sant Andreu (Barcelona)","Cultura i oci | Sector públic","monografies","","Guia de l'Arxiu Municipal del Districte de Sant Andreu","","text",
"","","Institut Municipal de Mercats (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2013","2013","","","","","","","","","","","application/pdf","11 p.","10641","","","organismes autònoms","","","http://hdl.handle.net/11703/90167","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Aliments | Consum responsable | Food | Responsible consumption | Alimentos | Consumo responsable","Societat i benestar","monografies","","Receptes d'aprofitament: el menjar no es llença","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1964-04-10","1981","1999-01-15","1964-09-02","Podeu consultar la versió oficial a: http://hdl.handle.net/11703/100459","","","","Digitalitzat pel SEDAC","","","","application/pdf","36 p.","6525","","","","","","http://hdl.handle.net/11703/91634","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/100459","","","http://hdl.handle.net/11703/91632 | http://hdl.handle.net/11703/91631","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/91633","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Espais públics | Vianants | Public spaces | Pedestrians | Espacios públicos | Peatones","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | monografies | documents digitalitzats","","Ordenanza de policía de la vía pública [1964] [ed. 1981]","","text",
"","","Ajuntament de Barcelona","","","1962","","1962","1962","","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","","","application/pdf","264 p.","","","","","","","http://hdl.handle.net/11703/110858","cas","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Barcelona: Ajuntament de Barcelona","Organització i organigrames | Política i govern | Organization and flowcharts | Politics and government | Organización y organigramas | Política y gobierno","Sector públic","monografies | documents digitalitzats | decrets | acords","","Acuerdos municipales y Decretos de la Alcaldía (vol. 2) [1961-1962]","","text",
"","","Direcció d'Immigració","","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","","","2009","2009","","","Editat anteriorment amb el títol: Guia de recursos per a persones nouvingudes a Barcelona","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","40 p.","3689","","","","","","http://hdl.handle.net/11703/90545","cat | fre","Ajuntament de Barcelona","http://hdl.handle.net/11703/90541 | http://hdl.handle.net/11703/90542 | http://hdl.handle.net/11703/90543 | http://hdl.handle.net/11703/90546 | http://hdl.handle.net/11703/90544","","","","","","","","","","","http://hdl.handle.net/11703/91249","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia d'acollida de butxaca de Barcelona : Ciutat Vella [versió en català i francès]","","text",
"","","Fina, Xavier | Spà, Carles | Regidoria Nous Usos del Temps","Moreno, Sara","Barcelona | Barcelona | Barcelona","","","2007","2007","","","Forma part de la col·lecció: Dossiers del temps","","","","","","","","application/pdf","60 p.","4322","","","","","","http://hdl.handle.net/11703/90659","cat","Ajuntament de Barcelona. Regidoria Usos del Temps","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Organització del temps | Gestió cultural | Cultura i lleure | Time management | Arts management | Culture and leisure | Organización del tiempo | Gestión cultural | Cultura y ocio","Societat i benestar | Cultura i oci","monografies","","Temps i cultura: aproximació a l'anàlisi de la cultura des de la perspectiva del temps","","text",
"","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2006-10-24","2006-10-24","","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/90424 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/111579 | Podeu consultar la versió en búlgar a: http://hdl.handle.net/11703/111580 | Podeu consultar la versió en japonès a: http://hdl.handle.net/11703/111581 | Podeu consultar la versió en persa a: http://hdl.handle.net/11703/111582 | Podeu consultar la versió en serbi a: http://hdl.handle.net/11703/111583 | Podeu consultar la versió en ucraïnès a: http://hdl.handle.net/11703/111584","","","","","","Podeu consultar la versió en japonès a: http://hdl.handle.net/11703/111581","","application/pdf","9 p.","6114","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/111578","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/90424 | http://hdl.handle.net/11703/111579 | http://hdl.handle.net/11703/111580 | http://hdl.handle.net/11703/111581 | http://hdl.handle.net/11703/111582 | http://hdl.handle.net/11703/111583 | http://hdl.handle.net/11703/111584","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Política cultural | Cultural policy | Política cultural","Cultura i oci","monografies","Agenda 21 de la cultura","Advice on local implementation of the Agenda 21 for culture","","text",
"","","Oller, Glòria | Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2007","2007-05","","","","","","","","","","","application/pdf","246 p.","Llibre_blanc_habitatge","","","","","","http://hdl.handle.net/11703/90375","cat","Ajuntament de Barcelona | Institut Municipal d'Urbanisme (Barcelona)","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Habitatge | Política de l'habitatge | Housing | Housing policy | Vivienda | Política de vivienda","Habitatge","monografies","","Llibre blanc de l'habitatge","","text",
"","","Institut Barcelona Esports | González, Carles | Lleixà Arribas, Teresa | Ahicart, Mar | Arteta, Cristina | Campos, Josep","","Barcelona | Barcelona | Barcelona","","","2008","2008","","","","","","","","","","","application/pdf","95 p.","18440","","","organismes autònoms","","","http://hdl.handle.net/11703/90318","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Esports per a infants | Sports for children | Deportes para niños","Esport","monografies","","Proposta de currículum per a les activitats esportives fora d'horari lectiu de la ciutat de Barcelona","Pla de l’esport en edat escolar de la ciutat de Barcelona","text",
"","","Direcció de Benestar Social | Abril Moreno, Isabel | Català Galofré, Carmina | Causapie Lopesino, Pilar","","Barcelona | Barcelona | Barcelona","","","2006","2007-05","","","","","","","","","","","application/pdf","43 p.","","","","","","","http://hdl.handle.net/11703/91812","cat","Direcció de Benestar Social","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Maltractament infantil | Child abuse | Maltrato infantil","Seguretat | Societat i benestar","protocols | monografies","","Infància i adolescència en situacions de risc de maltractament: Protocol tècnic: Estudi, diagnòstic i valoració","","text",
"","","Parcs i Jardins de Barcelona, Institut Municipal | Àrea de Medi Ambient","","Barcelona. Districte 10. Sant Martí | Hort Masia Can Cadena (Barcelona) | Barcelona. District 10. Sant Martí | Hort Masia Can Cadena (Barcelona) | Barcelona. Distrito 10. Sant Martí | Hort Masia Can Cadena (Barcelona)","","","2012","2012","","","","","","","","","","Drets revisats. No s'ha parlat amb els responsables de les il·lustracions i fotografies, per tant s'ha establert CC-BY [només pel text] ; Tots els drets reservats [per les fotografies].","application/pdf","6 p.","BAB_10992","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/91349","cat","Ajuntament de Barcelona. Parcs i Jardins de Barcelona","","","","","","","","http://hdl.handle.net/11703/91348 | http://hdl.handle.net/11703/91350","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","","De l'edició: Ajuntament de Barcelona i Institut Municipal de Parcs i Jardins | De les fotografies i il·lustracions: els seus autors","http://creativecommons.org/licenses/by/4.0/deed.ca","","Educació ambiental | Productes agrícoles | Material didàctic | Environmental education | Farm produce | Teaching materials | Educación ambiental | Productos agrícolas | Material didáctico","Medi ambient","monografies","","D'on provenen els aliments?: Orientacions per als professors","","text",
"","","Segura Soriano, Isabel | Districte 8. Nou Barris | Direcció del Programa de Dona","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","","2015","2015-02","","","","","","","","","","","application/pdf","","18708 | 18709","","","districtes","","","http://hdl.handle.net/11703/90394","cat","Regidoria de Dones i Drets Civils | Districte 8. Nou Barris","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Història | Women | History | Mujeres | Historia","Cultura i oci","monografies | documents digitalitzats","","Dones de Nou Barris: itineraris històrics","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1983-03-18","1986","1999-05-21","1983-09-08","Podeu consultar la versió oficial a: http://hdl.handle.net/11703/91640 | Podeu consultar la versió no oficial en castellà a: http://hdl.handle.net/11703/91642","","","","Digitalitzat pel SEDAC","","","","application/pdf","37 p.","6485","","","","8476090625","","http://hdl.handle.net/11703/91641","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/91640 | http://hdl.handle.net/11703/91642","","","http://hdl.handle.net/11703/91640","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Commerce | Retail stores | Diet | Comercio | Comercios | Alimentación","Legislació i justícia | Comerç","ordenances municipals | monografies | documents digitalitzats","","Ordenança sobre els aliments i els establiments alimentaris [1983] [ed. 1986]","","text",
"","","Sector d'Urbanisme","","Barcelona | Barcelona | Barcelona","1981 | 1982 | 1983 | 1984 | 1985 | 1986 | 1987 | 1988 | 1989 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996","","1996","1996","","","La data de publicació és aproximada | Podeu consultar la versió en català a: http://hdl.handle.net/11703/101598 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/101600 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/101599 | Forma part de la col·lecció: llibres digitalitzats d'Urbanisme","","","","Digitalitzat per l'empresa Artyplan per encàrrec de la Biblioteca d'Urbanisme","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes","application/pdf","14 p.","","","","","","","http://hdl.handle.net/11703/101601","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/101598 | http://hdl.handle.net/11703/101600 | http://hdl.handle.net/11703/101599","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Urbanisme | City planning | Urbanismo","Urbanisme i infraestructures","monografies | documents digitalitzats","","Barcelona: espacios urbanos 1981-1996","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 35","","","","","","","","application/pdf","9 p.","8341","","","societats mercantils","","","http://hdl.handle.net/11703/90829","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Empreses | Directius | Emprenedoria | Business enterprises | Executives | Entrepreneurship | Empresas | Ejecutivos | Emprendedores","Economia","monografies","","Dirigir o no dirigir?: el perfil del personal de direcció en les empreses actuals","","text",
"","","TALP Comunicació (Firma) | Direcció d'Educació Ambiental i Participació | Agenda 21 BCN","","Barcelona | Barcelona | Barcelona","","","2003","2003","","","Forma part de la col·lecció: Guies d'Educació ambiental; 12","","","","","","","","application/pdf","28 p.","3061","","","","","","http://hdl.handle.net/11703/90470","cat","Ajuntament de Barcelona. Sector de Manteniment i Serveis. Direcció d'Educació ambiental i Participació","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Motocicletes | Educació ambiental | Motorcycles | Environmental education | Motocicletas | Educación ambiental","Transport","monografies","Pacte per la Mobilitat (Barcelona)","En moto, mou-te B","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1964-06-09","1965","1991-05-21","1965-01-12","Podeu consultar la versió oficial a: http://hdl.handle.net/11703/100447","","","","Digitalitzat pel SEDAC","","","","application/pdf","9 p.","6523","","","","","","http://hdl.handle.net/11703/91652","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/100447","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/97258","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Canonades | Pipe | Tuberías","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | monografies | documents digitalitzats","","Ordenanza de calas y canalizaciones [1964] [ed. 1965]","","text",
"","","Peirò, Julià | Direcció de Comerç i Consum","","Barcelona | Barcelona | Barcelona","","","2012","2012","","","","","","","","","","","application/pdf","276 p.","12296","","","","","","http://hdl.handle.net/11703/90288","cat | cas | eng","","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","Ajuntament de Barcelona | Julià Peiró | Rosa Castells","","","Restaurants | Restaurants | Restaurantes","Turisme | Cultura i oci","monografies","","Restaurants a Barcelona [versió en català, castellà i anglès]","Restaurantes de Barcelona [versió en català, castellà i anglès] | Restaurants in Barcelona [versió en català, castellà i anglès]","text",
"","","Regidoria de Drets Civils","Associació Lectura Fàcil","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","2 p.","8650","","","","","","http://hdl.handle.net/11703/90108","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Igualtat entre els sexes | Discriminació | Gender equality | Discrimination | Igualdad de género | Discriminación","Societat i benestar","monografies","","Convenció sobre l'eliminació de totes les formes de discriminació contra la dona","","text",
"","","Sector de Via Pública","","Barcelona | Barcelona | Barcelona","","","2002","2002","","","","","","","","","","","application/pdf","29 p.","4554","","","","","","http://hdl.handle.net/11703/90698","cat","Ajuntament de Barcelona. Via Pública","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Vianants | Pedestrians | Peatones","Transport","monografies","Pacte per la Mobilitat (Barcelona)","Moure's a peu per Barcelona","","text",
"","","Universitat Autònoma de Barcelona. Gabinet de Comunicació i Educació | Cibernàrium (Programa) | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","Forma part de la col·lecció: Inicia't en Internet. Manuals Cibernàrium d'alfabetització digital; 7","","","","","","","Drets revisats. El document informa explícitament sobre la llicència CC o CopyLeft.","application/pdf","41 p.","8665","","","societats mercantils","","","http://hdl.handle.net/11703/90899","cat","Barcelona Activa, S.A. Cibernàrium","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Universitat Autònoma de Barcelona. Gabinet de Comunicació i Educació | Cibernàrium (Programa) | Barcelona Activa, S.A.","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Internet | Xarxes socials | Internet | Social networks | Internet | Redes sociales","Ciència i tecnologia","monografies","Pla d'Alfabetització i Capacitació Digital 2010-2015 (Barcelona)","Les xarxes socials : crea i gestiona les teves xarxes d'amics a Internet","","text",
"","","Fàbrica del Sol (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2012","2012","","","","","","","","","","","application/pdf","6 p.","BAB_10576","","","","","","http://hdl.handle.net/11703/91288","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Educació ambiental | Energies alternatives | Desenvolupament sostenible | Environmental education | Renewable energy sources | Sustainable development | Educación ambiental | Recursos energéticos renovables | Desarrollo sostenible","Medi ambient","monografies","","Benvinguts a la Fàbrica del Sol!: pots visitar la Fàbrica del Sol ajudant-te d'aquesta guia","","text",
"","","Gerència de Recursos | Departament de Transversalitat de Gènere","","Barcelona | Barcelona | Barcelona","","","2018","2019-02","","","Forma part de la col·lecció: Quaderns metodològics feministes; 1 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/112510","","","","","","","","application/pdf","52 p.","","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114737","cas","","http://hdl.handle.net/11703/112510","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Vida pràctica | Vida práctica | Life skills | Política social | Política social | Social policy | Urbanisme | Urbanismo | City planning | Feminisme | Feminismo | Feminism | Violència envers les dones | Violencia contra las mujeres | Violence against women","Urbanisme i infraestructures","monografies","","Urbanismo y género: marchas exploratorias de vida cotidiana","","text",
"","","Departament d'Estadística","","Barcelona | Barcelona | Barcelona","2015","","2015","2015-05","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","70 p.","EST_18835","","","","","","http://hdl.handle.net/11703/90322","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Eleccions locals | Local elections | Elecciones locales","Sector públic","monografies","","Informe sobre les Eleccions locals 24 maig 2015","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","","","","","","","","","application/pdf","3 p.","9278","","","societats mercantils","","","http://hdl.handle.net/11703/90982","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Caixes d'estalvis | Bancs | Saving-banks | Banks | Cajas de ahorros | Bancos","Economia","monografies","","Càpsula de tendència sectorial: Banca i finances: Llei de Caixes i configuració del sistema financer","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 56","","","","","","","","application/pdf","12 p.","8360","","","societats mercantils","","","http://hdl.handle.net/11703/90846","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Empreses | Preus | Emprenedoria | Business enterprises | Pricing | Entrepreneurship | Empresas | Precios | Emprendedores","Economia","monografies","","La fixació de preus","","text",
"","","Barcelona Activa, S.A. | Àrea d'Hisenda i Promoció Econòmica","","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","","","","","","application/pdf","128 p.","2784","","","societats mercantils","","","http://hdl.handle.net/11703/90422","cat | cas","Barcelona Activa, S.A.. Promoció Econòmica","","","","http://hdl.handle.net/11703/90796","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Treball | Labor | Trabajo","Ocupació","monografies","","Barcelona ciutat de treball: guia de recursos per a l'ocupació [versió en català i castellà]","Barcelona: ciudad de trabajo: guía de recuros para el empleo [versió en català i castellà]","text",
"","","Ajuntament de Barcelona","","","1991","","1991","1991","","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","","","application/pdf","347 p.","","","","","","","http://hdl.handle.net/11703/110850","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Barcelona: Ajuntament de Barcelona","Organització i organigrames | Organization and flowcharts | Organización y organigramas","Sector públic","monografies | documents digitalitzats","","Estructura i funcions del l'administració municipal: febrer 1991 (vol. II)","","text",
